asof_date,team_abbrev,player_name,status,details,source
2026-03-04,OKC,S. Gilgeous-Alexander,PROB,S. Gilgeous-Alexander (Prob),rotowire
2026-03-04,CHA,C. White,PROB,C. White (Prob),rotowire
2026-03-04,POR,T. Gibson,QUES,T. Gibson (Ques),rotowire
2026-03-04,MEM,T. Gibson,QUES,T. Gibson (Ques),rotowire
2026-03-04,POR,T. Jerome,DOUBT,T. Jerome (Doubt),rotowire
2026-03-04,MEM,T. Jerome,DOUBT,T. Jerome (Doubt),rotowire
2026-03-04,IND,O. Toppin,PROB,O. Toppin (Prob),rotowire
2026-03-04,IND,A. Nembhard,QUES,A. Nembhard (Ques),rotowire
2026-03-04,IND,A. Nesmith,QUES,A. Nesmith (Ques),rotowire
2026-03-04,IND,P. Siakam,QUES,P. Siakam (Ques),rotowire
2026-03-04,OKC,B. Carlson,QUES,B. Carlson (Ques),rotowire
2026-03-04,OKC,A. Caruso,QUES,A. Caruso (Ques),rotowire
2026-03-04,OKC,I. Hartenstein,QUES,I. Hartenstein (Ques),rotowire
2026-03-04,OKC,A. Mitchell,DOUBT,A. Mitchell (Doubt),rotowire
2026-03-04,OKC,T. Sorber,OFS,T. Sorber (OFS),rotowire
2026-03-04,OKC,J. Williams,DOUBT,J. Williams (Doubt),rotowire
2026-03-04,OKC,M. Robinson,PROB,M. Robinson (Prob),rotowire
2026-03-04,OKC,M. McBride,OUT,M. McBride (Out),rotowire
2026-03-04,NYK,M. Robinson,PROB,M. Robinson (Prob),rotowire
2026-03-04,NYK,M. McBride,OUT,M. McBride (Out),rotowire
2026-03-04,CHA,T. Salaun,QUES,T. Salaun (Ques),rotowire
2026-03-04,CHA,G. Williams,PROB,G. Williams (Prob),rotowire
2026-03-04,CHA,J. Tatum,OUT,J. Tatum (Out),rotowire
2026-03-04,BOS,J. Tatum,OUT,J. Tatum (Out),rotowire
2026-03-04,UTA,J. Jackson,OFS,J. Jackson (OFS),rotowire
2026-03-04,UTA,W. Kessler,OFS,W. Kessler (OFS),rotowire
2026-03-04,UTA,J. Nurkic,OFS,J. Nurkic (OFS),rotowire
2026-03-04,UTA,V. Williams,OFS,V. Williams (OFS),rotowire
2026-03-04,UTA,L. Markkanen,OUT,L. Markkanen (Out),rotowire
2026-03-04,UTA,V. Edgecombe,QUES,V. Edgecombe (Ques),rotowire
2026-03-04,UTA,J. Embiid,QUES,J. Embiid (Ques),rotowire
2026-03-04,UTA,K. Oubre,QUES,K. Oubre (Ques),rotowire
2026-03-04,UTA,J. Broome,OUT,J. Broome (Out),rotowire
2026-03-04,UTA,P. George,OUT,P. George (Out),rotowire
2026-03-04,PHI,V. Edgecombe,QUES,V. Edgecombe (Ques),rotowire
2026-03-04,PHI,J. Embiid,QUES,J. Embiid (Ques),rotowire
2026-03-04,PHI,K. Oubre,QUES,K. Oubre (Ques),rotowire
2026-03-04,PHI,J. Broome,OUT,J. Broome (Out),rotowire
2026-03-04,PHI,P. George,OUT,P. George (Out),rotowire
2026-03-04,POR,D. Lillard,OFS,D. Lillard (OFS),rotowire
2026-03-04,POR,D. Avdija,OUT,D. Avdija (Out),rotowire
2026-03-04,POR,K. Murray,OUT,K. Murray (Out),rotowire
2026-03-04,POR,S. Sharpe,OUT,S. Sharpe (Out),rotowire
2026-03-04,POR,K. Caldwell-Pope,OFS,K. Caldwell-Pope (OFS),rotowire
2026-03-04,POR,Zach Edey,OFS,Zach Edey (OFS),rotowire
2026-03-04,POR,S. Aldama,OUT,S. Aldama (Out),rotowire
2026-03-04,POR,B. Clarke,OUT,B. Clarke (Out),rotowire
2026-03-04,POR,C. Coward,OUT,C. Coward (Out),rotowire
2026-03-04,POR,Taj Gibson,OUT,Taj Gibson (Out),rotowire
2026-03-04,POR,T. Hendricks,OUT,T. Hendricks (Out),rotowire
2026-03-04,POR,Ty Jerome,OUT,Ty Jerome (Out),rotowire
2026-03-04,POR,Ja Morant,OUT,Ja Morant (Out),rotowire
2026-03-04,POR,S. Pippen,OUT,S. Pippen (Out),rotowire
2026-03-04,MEM,K. Caldwell-Pope,OFS,K. Caldwell-Pope (OFS),rotowire
2026-03-04,MEM,Zach Edey,OFS,Zach Edey (OFS),rotowire
2026-03-04,MEM,S. Aldama,OUT,S. Aldama (Out),rotowire
2026-03-04,MEM,B. Clarke,OUT,B. Clarke (Out),rotowire
2026-03-04,MEM,C. Coward,OUT,C. Coward (Out),rotowire
2026-03-04,MEM,Taj Gibson,OUT,Taj Gibson (Out),rotowire
2026-03-04,MEM,T. Hendricks,OUT,T. Hendricks (Out),rotowire
2026-03-04,MEM,Ty Jerome,OUT,Ty Jerome (Out),rotowire
2026-03-04,MEM,Ja Morant,OUT,Ja Morant (Out),rotowire
2026-03-04,MEM,S. Pippen,OUT,S. Pippen (Out),rotowire
2026-03-04,ATL,J. Kuminga,OUT,J. Kuminga (Out),rotowire
2026-03-04,ATL,K. Porter,OUT,K. Porter (Out),rotowire
2026-03-04,ATL,T. Prince,OUT,T. Prince (Out),rotowire
2026-03-04,MIL,K. Porter,OUT,K. Porter (Out),rotowire
